abolish,anger
abominable,fear
abortive,sadness
abscess,sadness
absent,sadness
absentee,sadness
absolution,joy
abundance,joy
abundant,joy
abysmal,sadness
accidental,fear
accolade,joy
accompaniment,joy
accomplish,joy
accomplished,joy
accusation,anger
ache,sadness
achieve,joy
achievement,joy
aching,sadness
actionable,anger
adjudicate,fear
admirable,joy
admiration,joy
admonition,fear
adorable,joy
adoration,joy
adore,joy
adultery,sadness
advent,joy
adversary,anger
aesthetics,joy
affection,joy
affluence,joy
afraid,fear
aggravated,anger
aggravation,anger
aghast,fear
agitated,anger
agitation,anger
agonizing,fear
ail,sadness
alarm,fear
alarming,fear
alertness,fear
alerts,fear
alien,fear
alienate,anger
alienated,sadness
alive,joy
allegation,anger
allure,joy
aloha,joy
altercation,anger
amazingly,joy
ambition,joy
ambulance,fear
amen,joy
amicable,joy
amnesty,joy
amour,joy
amuse,joy
amused,joy
amusement,joy
amusing,joy
anaconda,fear
anchorage,sadness
angel,joy
angelic,joy
anger,anger
angina,fear
angry,anger
animated,joy
animus,anger
annoy,anger
annoyance,anger
annoying,anger
annulment,sadness
anomaly,fear
antagonism,anger
antagonist,anger
antagonistic,anger
antipathy,anger
antithesis,anger
anxious,fear
apache,fear
apathetic,sadness
apathy,sadness
apologize,sadness
appalling,fear
apparition,fear
applause,joy
appreciation,joy
apprehend,fear
apprehension,fear
apprehensive,fear
approve,joy
ardent,joy
argue,anger
argument,anger
argumentation,anger
arguments,anger
arid,sadness
armaments,fear
armor,fear
armored,fear
arrogant,anger
artillery,fear
ashamed,sadness
ashes,sadness
asp,fear
aspiration,joy
aspire,joy
aspiring,joy
asshole,anger
astonishment,joy
astray,fear
asylum,fear
atone,joy
atrocious,anger
attenuation,sadness
auditor,fear
auspicious,joy
authentic,joy
avarice,anger
avenger,anger
avoid,fear
avoidance,fear
avoiding,fear
award,joy
baby,joy
backbone,anger
backwater,sadness
bacterium,fear
badger,anger
badly,sadness
bailiff,fear
bait,fear
bale,fear
balm,joy
banquet,joy
baptismal,joy
barb,anger
barbarian,fear
bark,anger
barren,sadness
barricade,fear
barrier,anger
basketball,joy
bastard,sadness
bastion,anger
battalion,anger
battery,anger
battle,anger
battlefield,fear
beach,joy
beam,joy
beaming,joy
beastly,fear
beautification,joy
beautiful,joy
beautify,joy
beauty,joy
beer,joy
befriend,joy
beg,sadness
